topology: 4 5 4
in: 1.418241 1.662651 2.517448 14.440298 
out: 1.43367 1.632861 2.461838 13.962655 
in: 1.417983 1.65532 2.49633 14.387268 
out: 1.446261 1.617232 2.452465 13.814132 
in: 1.421689 1.651484 2.495848 14.352903 
out: 1.445166 1.632574 2.465237 14.083104 
in: 1.433233 1.637373 2.476086 14.21789 
out: 1.450655 1.641941 2.478419 14.04283 
in: 1.44028 1.639453 2.483042 14.217666 
out: 1.4548 1.658106 2.489515 14.134972 
in: 1.447605 1.631359 2.461653 14.071085 
out: 1.445655 1.658145 2.492736 14.124964 
in: 1.43367 1.632861 2.461838 13.962655 
out: 1.466057 1.65832 2.497414 14.218418 
in: 1.446261 1.617232 2.452465 13.814132 
out: 1.473503 1.64356 2.474285 14.095914 
in: 1.445166 1.632574 2.465237 14.083104 
out: 1.477459 1.640947 2.469205 14.141214 
in: 1.450655 1.641941 2.478419 14.04283 
out: 1.467166 1.642484 2.472395 14.258898 
in: 1.4548 1.658106 2.489515 14.134972 
out: 1.467453 1.625502 2.463639 14.147425 
in: 1.445655 1.658145 2.492736 14.124964 
out: 1.476752 1.613657 2.458276 14.08076 
in: 1.466057 1.65832 2.497414 14.218418 
out: 1.47925 1.606268 2.448865 14.08595 
in: 1.473503 1.64356 2.474285 14.095914 
out: 1.47905 1.59362 2.421064 14.082048 
in: 1.477459 1.640947 2.469205 14.141214 
out: 1.483557 1.59169 2.418719 14.066484 
in: 1.467166 1.642484 2.472395 14.258898 
out: 1.486154 1.595469 2.433233 14.137344 
in: 1.467453 1.625502 2.463639 14.147425 
out: 1.487602 1.604625 2.449924 14.193094 
in: 1.476752 1.613657 2.458276 14.08076 
out: 1.492252 1.603674 2.44289 14.195273 
in: 1.47925 1.606268 2.448865 14.08595 
out: 1.492503 1.584304 2.404845 14.055806 
in: 1.47905 1.59362 2.421064 14.082048 
out: 1.489052 1.576087 2.397018 13.989745 
in: 1.483557 1.59169 2.418719 14.066484 
out: 1.504798 1.576185 2.399457 14.071269 
in: 1.486154 1.595469 2.433233 14.137344 
out: 1.50025 1.581533 2.406026 14.084803 
in: 1.487602 1.604625 2.449924 14.193094 
out: 1.50055 1.574778 2.405697 14.018641 
in: 1.492252 1.603674 2.44289 14.195273 
out: 1.50385 1.572207 2.404521 14.010883 
in: 1.492503 1.584304 2.404845 14.055806 
out: 1.488305 1.5846 2.412337 14.161374 
in: 1.489052 1.576087 2.397018 13.989745 
out: 1.488602 1.578302 2.405667 14.082388 
in: 1.504798 1.576185 2.399457 14.071269 
out: 1.487956 1.580632 2.4159 14.003587 
in: 1.50025 1.581533 2.406026 14.084803 
out: 1.4959 1.571045 2.414642 13.89947 
in: 1.50055 1.574778 2.405697 14.018641 
out: 1.47715 1.568404 2.415683 13.929082 
in: 1.50385 1.572207 2.404521 14.010883 
out: 1.4714 1.564301 2.405102 13.944528 
in: 1.488305 1.5846 2.412337 14.161374 
out: 1.472114 1.568958 2.411752 13.997377 
in: 1.488602 1.578302 2.405667 14.082388 
out: 1.471411 1.567218 2.398035 13.96119 
in: 1.487956 1.580632 2.4159 14.003587 
out: 1.46275 1.566259 2.396484 13.874617 
in: 1.4959 1.571045 2.414642 13.89947 
out: 1.464261 1.566619 2.395737 13.883741 
in: 1.47715 1.568404 2.415683 13.929082 
out: 1.47065 1.561843 2.396536 14.006629 
in: 1.4714 1.564301 2.405102 13.944528 
out: 1.465853 1.5747 2.412062 14.011735 
in: 1.472114 1.568958 2.411752 13.997377 
out: 1.449505 1.585731 2.415528 14.109431 
in: 1.471411 1.567218 2.398035 13.96119 
out: 1.463407 1.578161 2.406783 14.061503 
in: 1.46275 1.566259 2.396484 13.874617 
out: 1.46125 1.582513 2.416587 14.065097 
in: 1.464261 1.566619 2.395737 13.883741 
out: 1.457808 1.590452 2.417453 14.047151 
in: 1.47065 1.561843 2.396536 14.006629 
out: 1.462515 1.573045 2.404469 13.895282 
in: 1.465853 1.5747 2.412062 14.011735 
out: 1.469703 1.562726 2.395856 13.880961 
in: 1.449505 1.585731 2.415528 14.109431 
out: 1.476657 1.569816 2.415669 13.979207 
in: 1.463407 1.578161 2.406783 14.061503 
out: 1.472958 1.564774 2.410375 13.945352 
in: 1.46125 1.582513 2.416587 14.065097 
out: 1.470665 1.568824 2.409925 13.991393 
in: 1.457808 1.590452 2.417453 14.047151 
out: 1.457713 1.569434 2.415936 13.960806 
in: 1.462515 1.573045 2.404469 13.895282 
out: 1.453 1.568061 2.403407 13.909328 
in: 1.469703 1.562726 2.395856 13.880961 
out: 1.440706 1.571508 2.408358 13.991708 
in: 1.476657 1.569816 2.415669 13.979207 
out: 1.452364 1.564746 2.402356 14.000963 
in: 1.472958 1.564774 2.410375 13.945352 
out: 1.44905 1.564161 2.404237 14.044329 
in: 1.470665 1.568824 2.409925 13.991393 
out: 1.458054 1.586582 2.43449 14.328248 
in: 1.457713 1.569434 2.415936 13.960806 
out: 1.452519 1.59135 2.440502 14.334541 
in: 1.453 1.568061 2.403407 13.909328 
out: 1.45111 1.59232 2.445872 14.262617 
in: 1.440706 1.571508 2.408358 13.991708 
out: 1.4487 1.585313 2.430846 14.239704 
in: 1.452364 1.564746 2.402356 14.000963 
out: 1.4399 1.582798 2.431667 14.225474 
in: 1.44905 1.564161 2.404237 14.044329 
out: 1.443167 1.588746 2.436842 14.285245 
in: 1.458054 1.586582 2.43449 14.328248 
out: 1.441218 1.591297 2.436948 14.317099 
in: 1.452519 1.59135 2.440502 14.334541 
out: 1.443006 1.597573 2.448448 14.462173 
in: 1.45111 1.59232 2.445872 14.262617 
out: 1.44985 1.592248 2.445597 14.397994 
in: 1.4487 1.585313 2.430846 14.239704 
out: 1.4437 1.577613 2.424359 14.243865 
in: 1.4399 1.582798 2.431667 14.225474 
out: 1.44746 1.567469 2.414992 14.185691 
in: 1.443167 1.588746 2.436842 14.285245 
out: 1.448815 1.562811 2.406601 14.161662 
in: 1.441218 1.591297 2.436948 14.317099 
out: 1.472555 1.572067 2.417757 14.199217 
in: 1.443006 1.597573 2.448448 14.462173 
out: 1.468003 1.578451 2.425141 14.292182 
in: 1.44985 1.592248 2.445597 14.397994 
out: 1.465617 1.582677 2.43009 14.296839 
in: 1.4437 1.577613 2.424359 14.243865 
out: 1.462561 1.568962 2.410981 14.212313 
in: 1.44746 1.567469 2.414992 14.185691 
out: 1.469606 1.574938 2.426945 14.239216 
in: 1.448815 1.562811 2.406601 14.161662 
out: 1.472958 1.579196 2.433814 14.31367 
in: 1.472555 1.572067 2.417757 14.199217 
out: 1.466413 1.570624 2.421973 14.32588 
in: 1.468003 1.578451 2.425141 14.292182 
out: 1.457804 1.578026 2.424644 14.50905 
in: 1.465617 1.582677 2.43009 14.296839 
out: 1.447421 1.585331 2.438713 14.488612 
in: 1.462561 1.568962 2.410981 14.212313 
out: 1.445028 1.588228 2.443019 14.520172 
in: 1.469606 1.574938 2.426945 14.239216 
out: 1.430528 1.598619 2.455716 14.600825 
in: 1.472958 1.579196 2.433814 14.31367 
out: 1.427357 1.596234 2.444756 14.566054 
in: 1.466413 1.570624 2.421973 14.32588 
out: 1.427186 1.582617 2.426445 14.488683 
in: 1.457804 1.578026 2.424644 14.50905 
out: 1.435663 1.5796 2.427842 14.49461 
in: 1.447421 1.585331 2.438713 14.488612 
out: 1.421816 1.598513 2.443351 14.792685 
in: 1.445028 1.588228 2.443019 14.520172 
out: 1.421132 1.599933 2.448594 14.739124 
in: 1.430528 1.598619 2.455716 14.600825 
out: 1.432613 1.606319 2.461579 14.672541 
in: 1.427357 1.596234 2.444756 14.566054 
out: 1.433077 1.600611 2.457235 14.590155 
in: 1.427186 1.582617 2.426445 14.488683 
out: 1.430014 1.613262 2.469191 14.744559 
in: 1.435663 1.5796 2.427842 14.49461 
out: 1.426357 1.616501 2.464136 14.827883 
in: 1.421816 1.598513 2.443351 14.792685 
out: 1.4168 1.614726 2.467743 14.74682 
in: 1.421132 1.599933 2.448594 14.739124 
out: 1.415026 1.615441 2.464191 14.728393 
in: 1.432613 1.606319 2.461579 14.672541 
out: 1.425 1.609086 2.457579 14.760535 
in: 1.433077 1.600611 2.457235 14.590155 
out: 1.433363 1.599021 2.435872 14.738645 
in: 1.430014 1.613262 2.469191 14.744559 
out: 1.432727 1.590453 2.431868 14.610377 
in: 1.426357 1.616501 2.464136 14.827883 
out: 1.430934 1.588974 2.429008 14.498629 
in: 1.4168 1.614726 2.467743 14.74682 
out: 1.444822 1.60015 2.447757 14.544387 
in: 1.415026 1.615441 2.464191 14.728393 
out: 1.444017 1.60956 2.458815 14.72702 
in: 1.425 1.609086 2.457579 14.760535 
out: 1.433084 1.610187 2.455691 14.547017 
in: 1.433363 1.599021 2.435872 14.738645 
out: 1.4335 1.619528 2.458299 14.564074 
in: 1.432727 1.590453 2.431868 14.610377 
out: 1.437156 1.616154 2.457813 14.59464 
in: 1.430934 1.588974 2.429008 14.498629 
out: 1.436969 1.616297 2.461845 14.632725 
in: 1.444822 1.60015 2.447757 14.544387 
out: 1.432314 1.629228 2.481402 14.746772 
in: 1.444017 1.60956 2.458815 14.72702 
out: 1.429757 1.622863 2.475723 14.635091 
in: 1.433084 1.610187 2.455691 14.547017 
out: 1.426472 1.614119 2.46851 14.590099 
in: 1.4335 1.619528 2.458299 14.564074 
out: 1.445766 1.612405 2.464699 14.554573 
in: 1.437156 1.616154 2.457813 14.59464 
out: 1.445622 1.611922 2.4647 14.548751 
in: 1.436969 1.616297 2.461845 14.632725 
